name,url1,url2,url3
Argosy University-Inland Empire,https://www.argosy.edu/locations/inland-empire,https://www.argosy.edu/~/media/au/main/news-events/media-resources/argosy-university-inland-empire.ashx,https://www.yelp.com/biz/argosy-university-ontario
Argosy University-Los Angeles,https://www.argosy.edu/locations/los-angeles/counseling-psychology-and-social-sciences/master-of-arts-in-counseling-psychology,https://www.argosy.edu/~/media/au/main/news-events/media-resources/argosy-university-los-angeles.ashx,https://www.yelp.com/biz/argosy-university-los-angeles-2
Argosy University-Nashville,https://www.argosy.edu/closed-school-information,https://www.tennessean.com/story/news/education/2018/07/03/nashvilles-art-institute-argosy-university-stop-future-enrollment-company-announces/755273002/,https://bigfuture.collegeboard.org/college-university-search/print-college-profile?id=257275
Argosy University-Northern Virginia,https://www.argosy.edu/closed-school-information,https://www.wusa9.com/article/news/local/dc/feds-schools-scramble-to-help-shuttered-argosy-university-students/65-5078082b-7f1f-4321-8bf1-9b44e90bdfdf,https://www.yelp.com/biz/argosy-university-arlington-2
Argosy University-Orange County,https://www.yelp.com/biz/argosy-university-orange-2,https://www.argosy.edu/closed-school-information,https://www.argosy.edu/~/media/au/main/news-events/media-resources/argosy-university-orange-county.ashx
Argosy University-Phoenix,https://www.azcentral.com/story/news/local/arizona-education/2019/03/08/argosy-university-closes-phoenix-campus-after-tumultuous-few-months/3105572002/,https://www.argosy.edu/closed-school-information,http://ktar.com/story/2473358/for-profit-argosy-university-shuts-down-in-phoenix-rest-of-country/
Argosy University-Phoenix Online Division,https://www.argosy.edu/closed-school-information,https://www.collegefactual.com/colleges/argosy-university-phoenix-online-division/academic-life/distance-learning/,https://www.princetonreview.com/grad/argosy-university-phoenix-online-division-9456348
Argosy University-Salt Lake City,https://www.argosy.edu/locations/salt-lake-city,https://www.princetonreview.com/grad/argosy-university-salt-lake-city-9452090,https://www.ksl.com/article/46509085/payson-mother-unsure-whats-next-after-argosy-universitys-sudden-closure
Argosy University-San Diego,https://www.yelp.com/biz/argosy-university-san-diego,https://www.argosy.edu/~/media/au/main/news-events/media-resources/argosy-university-san-diego.ashx,https://www.argosy.edu/closed-school-information
Argosy University-San Francisco Bay Area,https://www.argosy.edu/clinical-psychology/locations/san-francisco/contact-us,https://www.eastbaytimes.com/2018/07/19/in-brief-alamedas-argosy-university-to-close-by-january/,https://www.yelp.com/biz/argosy-university-alameda-2
Argosy University-Sarasota,https://www.argosy.edu/closed-school-information,https://www.argosy.edu/~/media/au/main/news-events/media-resources/argosy-university-sarasota.ashx,https://www.bizjournals.com/tampabay/news/2018/07/06/argosy-university-in-sarasota-is-closing.html
Argosy University-Schaumburg,https://www.argosy.edu/clinical-psychology/locations/chicago-schaumburg/contact-us,https://www.argosy.edu/locations/chicago-schaumburg/faculty,https://www.argosy.edu/closed-school-information
Argosy University-Seattle,https://en.wikipedia.org/wiki/Argosy_University,_Seattle,https://www.argosy.edu/closed-school-information,https://www.yelp.com/biz/argosy-university-seattle-2
